age,E1,N1,A1,C1,O1
20,3,3,2,3,3
33,3,1,1,3,4
19,4,5,1,5,3
36,3,3,1,3,5
36,2,5,2,3,4
13,1,4,5,3,5
35,2,2,5,4,5
16,1,5,3,2,3
24,1,1,2,4,4
57,3,4,1,3,3
51,3,4,2,4,5
24,5,3,5,5,5
35,4,1,1,4,2
19,1,5,2,4,3
27,1,5,5,1,3
14,1,4,3,3,2
24,1,4,1,4,3
14,2,4,1,4,4
38,3,2,1,3,3
22,3,4,1,3,4
17,1,5,1,4,1
26,4,4,5,3,2
17,1,5,3,3,4
24,3,2,2,4,2
49,3,4,1,1,4
30,2,2,2,2,2
15,1,3,2,3,4
23,4,3,5,4,3
23,2,2,4,3,3
29,4,5,1,3,4
22,1,2,1,4,4
18,1,2,1,4,4
29,5,3,1,2,5
21,1,4,2,4,3
28,4,5,1,4,5
56,1,5,2,3,1
17,4,2,4,3,3
17,5,3,2,4,4
36,4,1,4,4,4
18,3,1,1,2,4
19,1,2,5,4,5
21,3,3,3,3,2
20,1,3,2,1,2
23,1,5,5,4,2
23,3,2,2,4,4
21,5,2,1,2,5
43,2,2,2,3,4
22,4,3,1,5,4
23,1,4,1,4,5
20,3,5,2,4,4
26,4,4,2,4,4
29,2,4,2,4,5
27,3,4,3,2,2
41,4,2,3,5,4
21,4,5,1,4,4
16,2,4,3,3,4
19,3,4,4,5,2
18,1,3,3,3,4
34,3,4,2,5,5
50,1,5,1,5,1
18,1,3,4,2,3
30,2,4,1,3,1
21,1,5,2,2,5
19,2,3,4,3,3
14,3,4,4,3,4
32,3,2,4,3,3
32,2,4,2,3,3
24,2,5,2,4,2
21,3,1,2,5,3
27,4,3,2,3,4
22,4,2,3,3,3
16,1,3,2,4,2
19,1,5,3,4,5
17,3,4,1,2,4
16,1,4,2,2,4
55,4,3,1,5,5
61,4,1,1,4,5
44,1,2,2,4,4
15,1,5,5,3,3
57,2,1,1,5,5
18,2,3,4,3,3
42,4,1,1,4,5
41,1,1,2,3,3
16,5,4,1,5,3
21,3,4,1,3,3
32,5,5,5,1,5
19,1,3,2,4,4
31,4,1,1,5,4
